지역명,시군구명,보훈대상자 이용률,보훈대상자수,고령자수,병원 이용자수 평균,보훈병원 유무,광역시도명_x,병원수,평균진료과수,광역시도명_y,대중교통시간_분
경상북도,울진군(경북),,1148,955,75.75,0,,,,,
경상북도,의성군,,1784,1600,117.75,0,경상북도,4.0,6.0,경상북도,48.0
경상북도,청도군,,1323,1148,76.0,0,경상북도,4.0,4.0,경상북도,48.75
경상북도,청송군,,714,625,36.5,0,경상북도,1.0,7.0,경상북도,19.0
경상북도,칠곡군,,1886,1510,56.83333333333334,0,경상북도,3.0,7.0,경상북도,51.66666666666666
경상북도,포항시,,11590,9033,1301.25,0,경상북도,7.0,11.0,경상북도,41.71428571428572
광주광역시,광산구,,5706,3763,50.54545454545455,1,광주광역시,5.0,10.0,광주광역시,63.4
광주광역시,남구(광주),,4151,3286,75.36363636363636,0,광주광역시,4.0,8.0,광주광역시,18.5
광주광역시,동구(광주),,2300,1857,35.09090909090909,0,광주광역시,2.0,8.0,광주광역시,39.5
광주광역시,북구(광주),,7959,6048,20.09090909090909,0,광주광역시,2.0,4.0,광주광역시,48.0
광주광역시,서구(광주),,5245,3950,58.63636363636363,0,광주광역시,3.0,6.0,광주광역시,41.0
대구광역시,군위군,,926,817,47.9,0,대구광역시,1.0,5.0,대구광역시,8.0
대구광역시,남구(대구),,3188,2697,41.75,0,대구광역시,3.0,6.0,대구광역시,24.33333333333333
대구광역시,달서구,,8998,7310,84.75,1,대구광역시,7.0,7.0,대구광역시,56.83333333333334
대구광역시,달성군(대구),,4028,3172,77.91666666666667,0,대구광역시,4.0,7.0,대구광역시,71.25
대구광역시,동구(대구),,9026,6997,320.6666666666667,0,대구광역시,5.0,5.0,대구광역시,44.6
대구광역시,북구(대구),,6984,5422,117.5,0,대구광역시,4.0,6.0,대구광역시,48.75
대구광역시,서구(대구),,3230,2730,48.33333333333334,0,대구광역시,3.0,4.0,대구광역시,29.5
대구광역시,수성구,,7981,6371,73.66666666666667,0,대구광역시,5.0,6.0,대구광역시,52.4
대구광역시,중구(대구),,1680,1286,56.8,0,대구광역시,2.0,6.0,대구광역시,88.5
대전광역시,대덕구,,3074,2404,30.41666666666667,1,대전광역시,3.0,14.0,대전광역시,50.33333333333334
대전광역시,동구(대전),,4255,3406,92.41666666666669,0,대전광역시,3.0,5.0,대전광역시,46.33333333333334
대전광역시,서구(대전),,8106,6007,204.5833333333333,0,대전광역시,7.0,6.0,대전광역시,31.14285714285714
대전광역시,유성구,,6345,3741,137.0,0,대전광역시,4.0,4.0,대전광역시,34.0
대전광역시,중구(대전),,4618,3724,66.66666666666667,0,대전광역시,3.0,2.0,대전광역시,89.66666666666667
부산광역시,강서구(부산),,1870,1343,19.18181818181818,0,부산광역시,1.0,6.0,부산광역시,85.0
부산광역시,금정구,,4361,3787,1070.583333333333,0,부산광역시,3.0,7.0,부산광역시,21.0
부산광역시,기장군,,3948,3266,354.4166666666667,0,부산광역시,6.0,5.0,부산광역시,30.33333333333333
부산광역시,남구(부산),,5239,4346,590.8333333333334,0,부산광역시,4.0,5.0,부산광역시,9.0
부산광역시,동구(부산),,1892,1611,51.83333333333334,0,부산광역시,2.0,6.0,부산광역시,12.5
부산광역시,동래구,,5360,4458,438.0833333333333,0,부산광역시,4.0,8.0,부산광역시,16.0
부산광역시,부산진구,,6923,5770,209.6666666666667,0,,,,,
부산광역시,북구(부산),,5240,4369,564.25,0,부산광역시,5.0,3.0,부산광역시,11.6
부산광역시,사상구,,3708,3143,63.91666666666666,1,부산광역시,4.0,11.0,부산광역시,26.0
부산광역시,사하구,,5299,4481,435.3333333333333,0,부산광역시,4.0,6.0,부산광역시,21.5
부산광역시,서구(부산),,2213,1930,84.91666666666667,0,부산광역시,2.0,8.0,부산광역시,14.0
부산광역시,수영구,,3968,3370,406.4166666666667,0,부산광역시,4.0,4.0,부산광역시,20.75
부산광역시,연제구,,4182,3558,86.25,0,부산광역시,4.0,3.0,부산광역시,19.0
부산광역시,영도구,,2664,2357,295.4166666666667,0,부산광역시,3.0,5.0,부산광역시,20.33333333333333
부산광역시,중구(부산),,883,778,138.4166666666667,0,부산광역시,3.0,2.0,부산광역시,17.33333333333333
부산광역시,해운대구,,7326,5977,265.4166666666667,0,부산광역시,6.0,5.0,부산광역시,30.0
서울특별시,강남구,,7857,6373,485.1666666666667,0,서울특별시,6.0,2.0,서울특별시,27.0
서울특별시,강동구,,8206,6653,292.6666666666667,1,서울특별시,6.0,13.0,서울특별시,19.5
서울특별시,강북구,,4861,4120,388.4166666666667,0,서울특별시,5.0,7.0,서울특별시,24.0
서울특별시,강서구(서울),,8893,7087,410.6666666666667,0,서울특별시,6.0,6.0,서울특별시,17.83333333333333
서울특별시,관악구,,7224,5740,469.0833333333333,0,서울특별시,5.0,6.0,서울특별시,10.75
서울특별시,광진구,,4081,3289,200.25,0,서울특별시,4.0,2.0,서울특별시,10.0
서울특별시,구로구,,6323,5229,387.75,0,서울특별시,6.0,4.0,서울특별시,18.66666666666667
서울특별시,금천구,,3338,2693,184.4166666666667,0,서울특별시,4.0,4.0,서울특별시,9.25
서울특별시,노원구,,8628,6874,957.6666666666666,0,서울특별시,7.0,4.0,서울특별시,13.16666666666667
서울특별시,도봉구,,5876,4975,602.5833333333334,0,서울특별시,5.0,5.0,서울특별시,15.0
서울특별시,동대문구,,5012,4126,486.5833333333333,0,서울특별시,7.0,7.0,서울특별시,21.14285714285714
서울특별시,동작구,,6790,5392,141.75,0,서울특별시,6.0,4.0,서울특별시,14.66666666666667
서울특별시,마포구,,4801,3808,173.25,0,서울특별시,5.0,4.0,서울특별시,10.25
서울특별시,서대문구,,4357,3490,166.0833333333333,0,서울특별시,5.0,5.0,서울특별시,17.5
서울특별시,서초구,,6661,5486,162.75,0,서울특별시,5.0,4.0,서울특별시,14.2
서울특별시,성동구,,3544,2840,217.0833333333333,0,서울특별시,4.0,2.0,서울특별시,12.0
